id|accountid|type|ownerid|deal_license_activation_start_date__c|deal_license_activation_end_date__c|closedate|createddate|opportunity_stage_status__c|leadsource_category__c|deal_total_non_recurring__c|deal_total_recurring__c|currencyisocode|LeadSource|Deal_use_case__c|name
00609000002JM2BAAW|00109000005fuASAAY|New Business|00509000002DYMOAA4|2020-01-01|2024-12-31|2021-05-31|2021-02-04|Open|Sales Generated|0.0|0.0|EUR|Sales Generated Lead - by AE/AM| |Enterprise-wide multi-state ability
00609000002J4ykAAC|00109000005fs1sAAA|Renew|00509000000V8dhAAC|2020-05-01|2021-04-30|2021-03-16|2021-01-26|Lost|Marketing|0.0|0.0|EUR| | |Diverse foreground project
00609000002J4x9AAC|00109000005ftThAAI|Renew|00509000000V8dhAAC|2020-09-01|2021-08-31|2021-03-16|2021-01-26|Lost|Marketing|0.0|0.0|EUR| | |Phased mission-critical groupware
00609000002J4ybAAC|00109000005ftJ6AAI|Renew|00509000000V8dhAAC|2021-01-01|2021-12-31|2021-12-31|2021-01-26|Open|Marketing|0.0|0.0|EUR| | |Seamless methodical help-desk
00609000007UoPTAA0|00109000005g28BAAQ|New Business|00509000000V8dIAAS|2021-01-01|2021-12-31|2021-04-13|2021-04-13|Open|Partner Sourced|0.0|0.0|EUR|Partner Sourced - Alliances| |Organic intangible workforce
00609000006sce8AAA|00109000005fw2pAAA|Renew|00509000000WaNTAA0|2021-01-29|2022-01-28|2021-03-27|2021-03-16|Won|Marketing|0.0|4231.46|EUR| | |Compatible eco-centric complexity
00609000002J4yzAAC|00109000005fsmIAAQ|Renew|00509000000V8dSAAS|2021-01-01|2021-12-31|2021-03-22|2021-01-26|Won|Marketing|0.0|41701.6|EUR| | |Customizable eco-centric throughput
00609000007UhVxAAK|00109000005g1ziAAA|Upsell|00509000000V8eBAAS|2021-01-01|2021-03-31|2021-04-07|2021-04-07|Open|Sales Generated|0.0|0.0|EUR|Sales Generated Lead - by AE/AM|Embedded Analytics for Software Companies|Intuitive multi-state software
00609000007UfD6AAK|00109000005fsFJAAY|Renew|00509000000V8dIAAS|2021-01-01|2021-12-31|2021-04-30|2021-04-02|Open|Marketing|0.0|34318.35|EUR| | |Monitored radical installation
00609000006sfm0AAA|00109000005ftjRAAQ|Renew|00509000000V8drAAC|2021-01-07|2022-01-06|2021-01-07|2021-03-18|Lost|Marketing|0.0|0.0|EUR| | |Upgradable fresh-thinking challenge
00609000006sflvAAA|00109000005ftAXAAY|Renew|00509000000WaKkAAK|2021-01-15|2022-01-14|2021-01-15|2021-03-18|Lost|Marketing|0.0|0.0|EUR| | |Switchable interactive Internet solution
00609000002J50DAAS|00109000005fsk7AAA|Renew|00509000000V8dSAAS|2021-01-01|2021-12-31|2021-03-22|2021-01-26|Won|Marketing|0.0|45275.78999999999|EUR| | |Streamlined attitude-oriented circuit
00609000002J4ydAAC|00109000005fttbAAA|Renew|00509000000V8dcAAC|2021-01-01|2021-12-31|2021-03-11|2021-01-26|Won|Marketing|0.0|20619.84|EUR| | |Optimized incremental analyzer
00609000002J4zKAAS|00109000005fvFYAAY|Renew|00509000000V8dXAAS|2021-02-07|2022-02-06|2021-02-07|2021-01-26|Open|Marketing|0.0|0.0|EUR| | |Quality-focused didactic strategy
00609000002J50UAAS|00109000005fsqYAAQ|Renew|00509000000V8drAAC|2021-02-01|2022-01-31|2021-02-01|2021-01-26|Open|Marketing|0.0|0.0|EUR| | |Exclusive next generation conglomeration
00609000002J2BKAA0|00109000005gCdZAAU|New Business|00509000000V8dTAAS|2021-02-26|2022-02-25|2021-03-01|2021-01-20|Won|Sales Generated|0.0|22917.239999999998|EUR|Sales Generated Lead - by AE/AM|No specific Use Case yet|Total transitional Internet solution
00609000002JOjQAAW|00109000005ftjRAAQ|Upsell|00509000002EFk2AAG|2021-02-19|2022-02-18|2021-02-19|2021-02-05|Won|Marketing|0.0|22887.45|EUR| | |Proactive logistical ability
00609000002J51oAAC|00109000005fy34AAA|Renew|00509000000V8drAAC|2021-02-01|2022-01-31|2021-03-24|2021-01-26|Won|Marketing|0.0|31213.72|EUR| | |Balanced contextually-based hierarchy
00609000002JYtHAAW|00109000005fvICAAY|Renew|00509000000WaNTAA0|2021-02-03|2022-02-02|2021-03-23|2021-02-17|Lost|Marketing|0.0|0.0|EUR| | |Fully-configurable dynamic hub
00609000002J1iZAAS|00109000005fxcwAAA|Upsell|00509000000V8euAAC|2021-02-01|2021-09-30|2021-01-21|2021-01-20|Won|Marketing|0.0|4292.33|EUR| |Embedded Analytics for Software Companies|Persevering content-based time-frame
00609000002J50FAAS|00109000005ftCWAAY|Renew|00509000000V8dSAAS|2021-02-01|2022-01-31|2021-03-25|2021-01-26|Won|Marketing|0.0|23983.710000000003|EUR| | |Organized demand-driven encryption
00609000006skNsAAI|0010900000BxTkoAAF|New Business|00509000000V8euAAC|2021-03-23|2022-03-22|2021-03-23|2021-03-23|Won|Partner Sourced|0.0|11624.82|EUR|Partner Sourced - Alliances|Embedded Analytics for Software Companies|Implemented directional parallelism
00609000002JYraAAG|00109000005ftqcAAA|Renew|00509000003zITvAAM|2021-03-03|2022-03-02|2021-03-03|2021-02-17|Open|Marketing|0.0|46526.96|EUR| | |Enterprise-wide web-enabled function
00609000002JNeRAAW|00109000005gwlFAAQ|New Business|00509000000V8eVAAS|2021-03-01|2022-02-28|2021-03-03|2021-02-05|Won|Marketing|0.0|21945.35|USD|SEO - Organic|Franchise Sales Performance|Configurable contextually-based support
00609000002JYrkAAG|00109000005frxtAAA|Renew|00509000000V8dmAAC|2021-03-01|2022-02-28|2021-03-17|2021-02-17|Won|Marketing|0.0|0.0|EUR| | |Ergonomic needs-based budgetary management
00609000002JYpPAAW|00109000005fskPAAQ|Renew|00509000000WaNTAA0|2021-03-06|2022-03-05|2021-03-27|2021-02-17|Won|Marketing|0.0|26943.89|EUR| | |Reduced secondary conglomeration
00609000002J2lXAAS|00109000005fv7tAAA|New Business|00509000002DYMOAA4|2021-03-01|2022-02-28|2021-02-25|2021-01-21|Won|Partner Sourced|0.0|65994.19|EUR|Partner Sourced - Alliances|No specific Use Case yet|Ergonomic encompassing architecture
00609000002J4tLAAS|00109000005fryaAAA|New Business|00509000000V8dTAAS|2021-03-08|2024-03-07|2021-06-30|2021-01-25|Open|Marketing|0.0|0.0|EUR| | |Persistent maximized throughput
00609000002J50PAAS|00109000005ftOVAAY|Renew|00509000000V8dSAAS|2021-03-15|2022-03-14|2021-03-29|2021-01-26|Won|Marketing|0.0|21977.55|EUR| | |Future-proofed secondary knowledgebase
00609000007UZ1LAAW|00109000005fx7LAAQ|Upsell|00509000000V8eQAAS|2021-03-31|2022-03-31|2021-04-30|2021-03-26|Open|Marketing|0.0|0.0|EUR| | |Universal responsive attitude
00609000002JeW3AAK|00109000009mxAsAAI|New Business|00509000000V8eVAAS|2021-03-15|2022-03-14|2021-03-12|2021-02-25|Won|Marketing|0.0|22954.23|USD|Software Comparison|Embedded Analytics for Software Companies|Cross-platform uniform secured line
00609000002J50ZAAS|00109000005fvDXAAY|Renew|00509000000V8drAAC|2021-03-25|2022-03-24|2021-03-30|2021-01-26|Won|Marketing|0.0|236871.25|EUR| | |Ergonomic solution-oriented strategy
00609000007UWwmAAG|00109000005fuBNAAY|Renew|00509000000V8dmAAC|2021-03-01|2022-02-28|2021-03-23|2021-03-23|Won|Marketing|0.0|43323.85|EUR| | |Optional composite open system
00609000002JYruAAG|00109000005fvGsAAI|Renew|00509000000V8drAAC|2021-03-01|2021-03-01|2021-03-16|2021-02-17|Lost|Marketing|0.0|0.0|EUR| | |Versatile homogeneous array
00609000002JYrVAAW|00109000005ftzjAAA|Renew|00509000000V8dmAAC|2021-03-16|2022-03-15|2021-03-24|2021-02-17|Won|Marketing|0.0|7773.85|EUR| | |Open-source background data-warehouse
