id|accountid|type|ownerid|deal_license_activation_start_date__c|deal_license_activation_end_date__c|closedate|createddate|opportunity_stage_status__c|leadsource_category__c|deal_total_non_recurring__c|deal_total_recurring__c|currencyisocode|LeadSource|Deal_use_case__c|name
00609000002Iv7dAAC|00109000005fsIIAAY|Renew|00509000000V8fJAAS|2017-07-15|2018-07-14|2017-03-08|2017-12-18|Won|Sales/CSM|0.0|22617.75|EUR|Sales Generated Lead - AE, CSM, SDR| |Secured bottom-line benchmark
00609000002IumvAAC|00109000005fuoBAAQ|Renew|00509000000V8fJAAS|2018-01-01|2018-12-31|2017-01-11|2017-12-18|Won|Sales/CSM|0.0|39490.020000000004|EUR|Sales Generated Lead - AE, CSM, SDR| |Proactive encompassing knowledge user
00609000002IvQXAA0|00109000005fufBAAQ|Renew|00509000000WaKUAA0|2018-01-01|2018-12-31|2017-12-21|2017-12-21|Won|Other|18755.82|29500.17|EUR| | |Stand-alone object-oriented extranet
00609000002IuLUAA0|00109000005fsIwAAI|Renew|00509000000Wm9iAAC|2018-04-01|2019-04-30|2018-04-01|2018-02-23|Won|Other|0.0|146479.84|EUR| |No specific Use Case yet|Grass-roots 6thgeneration migration
00609000002IvL1AAK|00109000005ftKoAAI|Renew|00509000000Wm9iAAC|2018-08-01|2019-07-31|2018-04-08|2018-05-18|Won|Marketing|0.0|60408.4|EUR|Do not use - Marketing before 2021| |Innovative local methodology
00609000002IuLDAA0|00109000005fsIhAAI|Renew|00509000000V64gAAC|2018-12-01|2019-12-31|2018-12-01|2018-12-10|Won|Other|0.0|79783.7|EUR| |No specific Use Case yet|Persevering systemic adapter
00609000002IvO2AAK|00109000005ftkQAAQ|Renew|00509000000V8h0AAC|2019-01-01|2019-12-31|2019-01-01|2018-06-29|Won|Other|0.0|24808.39|EUR| | |Up-sized upward-trending focus group
00609000002IuiIAAS|00109000005fu4qAAA|Renew|00509000000Wm9iAAC|2019-01-01|2019-06-30|2019-01-01|2019-01-07|Won|Other|0.0|28236.16|EUR| | |Enhanced secondary collaboration
00609000002Iuu9AAC|00109000005fy34AAA|Renew|00509000000V8eLAAS|2019-02-01|2020-01-31|2019-01-02|2019-06-27|Won|Other|0.0|13149.6|EUR| | |Streamlined object-oriented success
00609000002IvLMAA0|00109000005ftOVAAY|Renew|00509000000V8fJAAS|2019-03-15|2020-03-14|2019-03-14|2018-04-05|Won|Marketing|0.0|23224.68|EUR|Do not use - Marketing before 2021| |Vision-oriented real-time info-mediaries
00609000002IuTQAA0|00109000005fsncAAA|Renew|00509000000V8gMAAS|2019-03-01|2020-02-29|2019-02-20|2019-02-20|Won|Other|0.0|63184.82|EUR| | |Synchronized non-volatile array
00609000002IuSJAA0|00109000005fskPAAQ|Renew|00509000000V8g2AAC|2019-03-06|2020-03-05|2019-02-11|2019-02-11|Won|Marketing|0.0|35263.8|EUR|Do not use - Marketing before 2021| |Horizontal background algorithm
